Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
710,0,1,0,0,6,0,22,11,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

720,0,1,0,0,6,0,22,11,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

730,0,1,0,0,6,0,22,11,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

740,0,1,0,0,6,0,22,11,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

750,0,1,0,0,6,0,22,11,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

760,0,1,0,0,5,0,23,11,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

770,0,1,0,0,5,0,23,11,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

780,0,1,0,1,4,0,24,11,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

790,0,1,0,1,4,0,24,10,26,4,4,0,0,2,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

800,0,1,0,1,3,0,25,10,26,4,4,0,0,2,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

810,0,1,0,1,3,0,25,10,26,4,4,0,0,2,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

820,0,1,0,1,3,0,25,10,26,4,4,0,0,2,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

830,0,1,0,1,3,0,25,10,26,4,4,0,0,2,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

840,0,1,0,1,3,0,25,10,26,4,4,0,0,2,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

