Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
750,0,0,1,1,9,6,17,6,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

760,0,0,1,1,8,5,16,8,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

770,0,0,1,1,7,4,17,9,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

780,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

790,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

800,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

810,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

820,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

830,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

840,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

850,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

860,0,0,1,1,5,2,22,10,16,9,9,0,0,2,13,13,12,11,0,31,9,0,0,1,1,2,2,1,2,0,0,0,0,0,

