Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known

9100,19,24,22,21,0,0,40,8,63,40,40,0,0,85,32,37,35,36,2,6,17,0,25,

9200,20,24,22,21,0,0,41,7,63,40,40,0,0,86,32,37,35,36,2,6,17,0,25,
9300,20,24,22,22,1,1,40,5,64,41,41,0,0,88,32,37,35,37,2,5,18,0,25,

9400,22,24,22,22,1,1,40,3,64,41,41,0,0,90,32,37,35,37,2,5,18,0,25,
9500,22,24,22,22,1,1,38,5,64,41,41,0,0,90,32,37,35,37,2,5,18,0,25,

9600,22,24,22,23,1,1,38,4,64,41,41,0,0,91,32,37,35,37,2,5,18,0,25,
9700,22,24,23,23,1,1,39,3,64,41,41,0,0,92,32,37,35,37,2,5,18,0,25,

9800,22,24,24,23,0,0,42,3,64,41,41,0,0,93,32,37,35,37,2,5,18,0,25,
9900,22,24,24,23,0,0,44,3,64,41,41,0,0,93,32,37,35,37,2,5,18,0,25,

10000,23,24,24,23,1,0,43,2,65,41,41,0,0,94,32,37,35,37,2,5,18,0,25,
10100,23,24,25,23,1,0,43,1,65,41,41,0,0,95,32,37,35,37,2,5,18,0,25,

10200,23,24,25,23,1,1,43,2,65,42,42,0,0,95,33,37,35,37,2,4,19,0,25,
10300,23,24,25,24,1,1,45,1,65,42,42,0,0,96,33,37,35,37,2,4,19,0,25,

10400,24,24,25,24,1,1,45,0,65,42,42,0,0,97,33,37,35,37,2,4,19,0,25,
10500,24,24,25,24,0,1,46,1,65,42,42,0,0,97,33,37,35,37,2,4,19,0,25,

